entry_id,repetition,line_id,abstraction_similarity,surface_similarity
E002,1,L107,0.39374695,0.30508488
E002,1,L108,0.29138017,0.19984282
E002,1,L111,0.23678421,0.28083212
E002,1,L112,0.32181644,0.17488368
E002,1,L113,0.30395526,0.23658237
E002,1,L114,0.32120461,0.31752712
E002,1,L115,0.20318625,0.15046225
E002,1,L116,0.32067447,0.31884377
E002,1,L117,0.29486564,0.29116351
E002,1,L118,0.28752194,0.20394497
E002,2,L001,0.36404161,0.26433557
E002,2,L002,0.37521367,0.31740977
E002,2,L003,0.38965435,0.21647973
E002,2,L004,0.39661678,0.21412166
E002,2,L005,0.37033536,0.37536913
E002,2,L006,0.35757094,0.34086445
E002,2,L007,0.20531829,0.17546218
E002,2,L008,0.36610091,0.40767597
E002,2,L011,0.32762534,0.30286817
E002,2,L012,0.42849513,0.30736648
E002,2,L013,0.42776164,0.25660457
E002,2,L014,0.48092177,0.35131283
E002,2,L015,0.34691476,0.27599625
E002,2,L016,0.34224182,0.16944748
E002,2,L017,0.30353097,0.13209602
E002,2,L018,0.27008388,0.24387055
E002,2,L021,0.30061237,0.26650185
E002,2,L022,0.34273183,0.2493946
E002,2,L023,0.35677346,0.14223019
E002,2,L024,0.29888451,0.47453213
E002,2,L025,0.37603286,0.4006767
E002,2,L026,0.21442092,0.22531051
E002,2,L027,0.34129316,0.34640026
E002,2,L028,0.27551232,0.33290088
E002,2,L031,0.30983099,0.20648658
E002,2,L032,0.33502068,0.39890389
E002,2,L033,0.50902639,0.15610312
E002,2,L034,0.32150065,0.27589457
E002,2,L035,0.27708907,0.30974656
E002,2,L036,0.33412468,0.2380612
E002,2,L037,0.30914238,0.18023903
E002,2,L038,0.27815021,0.27682093
E002,2,L041,0.29602354,0.31420746
E002,2,L042,0.14822768,0.25051549
E002,2,L043,0.25410809,0.22126685
E002,2,L044,0.19825549,0.1996393
E002,2,L045,0.36204852,0.24440048
E002,2,L046,0.20850693,0.29617205
E002,2,L047,0.31253265,0.44199359
E002,2,L048,0.30626781,0.26354629
E002,2,L051,0.32241094,0.2280605
E002,2,L052,0.34411013,0.20088501
E002,2,L053,0.24066584,0.37860239
E002,2,L054,0.34433478,0.25582419
E002,2,L055,0.380487,0.21699724
E002,2,L056,0.22211803,0.18343477
E002,2,L057,0.24361474,0.26333353
E002,2,L058,0.35178738,0.20489363
E002,2,L061,0.32630748,0.15255448
E002,2,L062,0.28883328,0.2422385
